Name,Roll,Branch,StartYear,PreviousCourses,CurrentCourses
Saanvi S,127,CE,2020,SE:8|DBMS:6,CN
Vivaan R,LUU29,CSE,2020,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Riya T,692,ECE,2024,DBMS:6|OOPS:5,DSA|AI
Saanvi P,247,CE,2021,DAA:8,DSA|CN|COA
Sai S,FVB35,ECE,2019,DSA:10|ML:8,CN
Saanvi A,346,CE,2019,CN:7|SE:5|ML:10,DSA|AI|ML
Shaurya A,667,ME,2019,OOPS:8,OS|CN|ML
Myra K,TNZ13,DS,2020,COA:7|OS:8,AI
Myra R,LBY37,CE,2022,SE:6|DBMS:5|ML:8|CN:6,COA
Aditya K,841,CE,2021,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Arya M,XIY73,DS,2024,OS:5|AI:6|CN:5,AI|DBMS|COA
Ira P,650,ME,2019,CN:6|TOC:6,OS
Shaurya P,996,ECE,2022,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Aarav K,DPA73,EE,2022,AI:5|DAA:8,AI|CN|OS
Atharv P,DWV26,IT,2023,TOC:9,ML
Navya P,GLC69,ME,2022,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Muhammad P,WBP33,ME,2023,TOC:5,AI
Sai R,VRP70,CE,2024,DAA:5|OS:9,DBMS|OS|AI
Reyansh M,900,IT,2021,DAA:5|CN:6|OOPS:6|OS:9,OS
Aditya P,412,ME,2022,SE:9,DBMS|DSA
Ananya A,GCJ17,EE,2020,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Reyansh S,AJQ25,ECE,2024,AI:6,COA|ML|DSA
Rian T,ALE69,EE,2024,SE:6|COA:7|DAA:7|ML:6,OS|CN
Aarav K,KDB69,DS,2023,DSA:8|TOC:8|DBMS:8,DBMS|CN
Pari R,267,DS,2024,COA:9|CN:7,DBMS|DSA
Angel P,874,EE,2022,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Rian R,574,ME,2021,DBMS:10|DSA:10|SE:9,DBMS|OS
Ananya M,862,AIML,2023,OS:6|DBMS:7|CN:7,CN
Aadhya S,HHS63,CSE,2023,CN:8,DBMS|OS
Krishna K,231,DS,2023,TOC:8|OOPS:7,AI|OS
Rian R,183,CE,2019,COA:8,CN
Krishna R,560,CE,2024,OS:5,ML|DSA
Aarav T,TXU38,EE,2024,DAA:5|DSA:10,DSA
Sara R,998,IT,2024,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Atharv M,JQR11,DS,2019,DAA:7|CN:7|DBMS:8,COA|AI|OS
Aarohi P,626,EE,2023,OOPS:6,OS
Muhammad P,NZR11,CE,2023,CN:5|DSA:7|TOC:7,AI|OS|CN
Navya S,870,DS,2019,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Reyansh K,FMA79,CSE,2022,COA:7|OS:8,OS
Rian A,MRC72,CE,2022,DSA:7,DSA|ML|DBMS
Aarohi T,ICG22,CSE,2021,OOPS:7|AI:7,DSA|OS
Myra A,249,CE,2020,SE:5|ML:6|COA:10,DBMS|AI|ML
Vihaan K,AZS78,ME,2023,CN:6|COA:10,DBMS|OS
Navya M,917,EE,2022,DBMS:7|AI:7,ML
Navya T,584,IT,2024,ML:10|COA:5|DSA:5,DBMS|CN
Ananya T,374,CSE,2019,CN:7,ML
Navya A,646,EE,2022,TOC:7,ML|OS
Kabir P,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Saanvi S_49,127,CE,2021,SE:8|DBMS:6,CN
Riya T_50,692,ECE,2022,DBMS:6|OOPS:5,DSA|AI
Shaurya P_51,996,ECE,2021,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Myra R_52,LBY37,CE,2024,SE:6|DBMS:5|ML:8|CN:6,COA
Reyansh S_53,AJQ25,ECE,2024,AI:6,COA|ML|DSA
Aarav K_54,DPA73,EE,2024,AI:5|DAA:8,AI|CN|OS
Myra A_55,249,CE,2017,SE:5|ML:6|COA:10,DBMS|AI|ML
Pari R_56,267,DS,2022,COA:9|CN:7,DBMS|DSA
Ira P_57,650,ME,2021,CN:6|TOC:6,OS
Arya M_58,XIY73,DS,2026,OS:5|AI:6|CN:5,AI|DBMS|COA
Myra K_59,TNZ13,DS,2020,COA:7|OS:8,AI
Navya T_60,584,IT,2022,ML:10|COA:5|DSA:5,DBMS|CN
Aarohi T_61,ICG22,CSE,2019,OOPS:7|AI:7,DSA|OS
Pari R_62,267,DS,2022,COA:9|CN:7,DBMS|DSA
Ira P_63,650,ME,2016,CN:6|TOC:6,OS
Aarav K_64,KDB69,DS,2024,DSA:8|TOC:8|DBMS:8,DBMS|CN
Aditya P_65,412,ME,2021,SE:9,DBMS|DSA
Saanvi S_66,127,CE,2020,SE:8|DBMS:6,CN
Saanvi P_67,247,CE,2019,DAA:8,DSA|CN|COA
Navya T_68,584,IT,2025,ML:10|COA:5|DSA:5,DBMS|CN
Pari R_69,267,DS,2025,COA:9|CN:7,DBMS|DSA
Myra A_70,249,CE,2018,SE:5|ML:6|COA:10,DBMS|AI|ML
Aditya K_71,841,CE,2019,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Aarohi P_72,626,EE,2021,OOPS:6,OS
Aditya P_73,412,ME,2022,SE:9,DBMS|DSA
Myra A_74,249,CE,2019,SE:5|ML:6|COA:10,DBMS|AI|ML
Angel P_75,874,EE,2022,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Saanvi P_76,247,CE,2022,DAA:8,DSA|CN|COA
Navya T_77,584,IT,2025,ML:10|COA:5|DSA:5,DBMS|CN
Muhammad P_78,NZR11,CE,2021,CN:5|DSA:7|TOC:7,AI|OS|CN
Aarav T_79,TXU38,EE,2024,DAA:5|DSA:10,DSA
Saanvi S_80,127,CE,2017,SE:8|DBMS:6,CN
Sai R_81,VRP70,CE,2025,DAA:5|OS:9,DBMS|OS|AI
Rian T_82,ALE69,EE,2021,SE:6|COA:7|DAA:7|ML:6,OS|CN
Shaurya P_83,996,ECE,2021,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Saanvi S_84,127,CE,2019,SE:8|DBMS:6,CN
Aadhya S_85,HHS63,CSE,2021,CN:8,DBMS|OS
Ananya A_86,GCJ17,EE,2022,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Saanvi P_87,247,CE,2018,DAA:8,DSA|CN|COA
Shaurya P_88,996,ECE,2024,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Muhammad P_89,WBP33,ME,2024,TOC:5,AI
Muhammad P_90,NZR11,CE,2023,CN:5|DSA:7|TOC:7,AI|OS|CN
Aarohi T_91,ICG22,CSE,2024,OOPS:7|AI:7,DSA|OS
Aditya P_92,412,ME,2019,SE:9,DBMS|DSA
